name,policy,forcing,status,objective,marge_brute,subventions,etp,production_t,surface_ha,azote_kg,ift,ges_tco2,eau_m3,autonomie_min,hhi_revenu,pad_vs_2017,allocated_plots,duration_s,output_dir,error
calib_gams_parite,,,optimal,84978687.40702486,108695003.27,56825164.7,2922.76,1054253.21,23459.17,1825205.17,68541.89,82486054.75,44607644.4,0.03,0.09,48.44,22028,214.3,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\calib_gams_parite,
calib_retenu,,,optimal,81222224.05898303,98632982.57,71805111.65,3503.04,912724.84,23481.13,1930902.56,66946.42,142733203.84,34663590.0,0.03,0.11,6.6,22056,778.8,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\calib_retenu,
