type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,1,29,0,0,7,18,2,10
2,0,0,0,133,0,0,6,0,7,0
3,0,0,0,0,1275,27,61,3,4,1
4,0,0,0,14,7,578,3,189,0,71
5,0,0,0,5,6,19,188,14,39,11
6,0,0,0,37,3,1,11,979,0,16
7,0,0,0,0,2,1,7,1,204,1
8,0,0,0,28,0,3,3,312,0,251
