type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,5,20,4,4,17,12,0,5
2,0,0,3,97,1,0,34,0,11,0
3,0,0,0,0,1354,7,6,1,3,0
4,0,0,1,30,440,370,8,4,0,9
5,0,0,1,4,12,33,192,3,36,1
6,0,0,0,26,106,214,9,642,0,50
7,0,0,0,0,4,3,9,0,200,0
8,0,0,0,38,141,206,3,13,0,196
