island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,91.36,69.14,411.81,1060.38,0.0,231.51,126.85000000000001,245.25,0.0,3745.67,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.55,0.0,26.77,271.62,257.95,426.67,0.0,638.08,7.52
2,0.0,0.8300000000000001,25.46,75.37,332.9,188.81,0.57,0.0,2.0100000000000002,0.0,0.0,1044.99,4.42,2493.19,157.38,0.0,3992.39,595.47,0.0,244.89,0.0,140.44,329.27,200.8,4.39,2113.89,25.7
3,0.0,0.0,0.0,17.47,0.0,179.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3143.01,0.0,0.0,0.0,17.69,0.0,15.430000000000001,0.0,25.58,0.0,227.95,0.0
