farm,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
E1,8.34,8.34,0.0,0.0,True
E10,9.700000000000001,9.700000000000001,0.9800000000000006,10.103092783505161,True
E100,14.169999999999998,14.169999999999998,23.56,166.26676076217362,False
E1000,7.7700000000000005,7.7700000000000005,0.0,0.0,True
E1001,1.46,1.46,0.0,0.0,True
E1002,12.41,12.41,3.16,25.46333601933924,False
E1003,4.92,4.92,0.0,0.0,True
E1004,2.98,2.9799999999999995,3.38,113.42281879194631,False
E1005,6.4,6.4,2.5199999999999996,39.374999999999986,False
E1006,5.03,5.03,0.0,0.0,True
E1007,5.83,5.83,2.3400000000000003,40.137221269296745,False
E1008,6.199999999999999,6.199999999999999,0.0,0.0,True
E1009,1.9300000000000002,1.9300000000000002,0.0,0.0,True
E101,11.11,11.11,12.619999999999997,113.59135913591358,False
E1010,5.67,5.669999999999999,8.34,147.0899470899471,False
E1011,2.7800000000000002,2.7800000000000002,5.5600000000000005,199.99999999999997,False
E1012,910.99,910.99,0.0,0.0,True
E1013,5.43,5.43,0.5199999999999998,9.576427255985264,True
E1014,0.28,0.28,0.0,0.0,True
E1015,11.54,11.54,1.8599999999999997,16.117850953206236,True
E1016,5.9,5.8999999999999995,2.9799999999999995,50.508474576271176,False
E1017,8.159999999999998,8.16,4.6000000000000005,56.37254901960786,False
E1018,6.73,6.73,4.900000000000001,72.80832095096584,False
E1019,10.53,10.530000000000001,15.919999999999998,151.18708452041784,False
E102,2.13,2.13,0.0,0.0,True
E1020,13.29,13.290000000000001,13.3,100.07524454477051,False
E1021,3.13,3.13,0.0,0.0,True
E1022,1.61,1.61,0.0,0.0,True
E1023,6.3500000000000005,6.3500000000000005,0.0,0.0,True
E1024,6.86,6.859999999999999,1.8,26.239067055393583,False
E1025,2.63,2.63,0.0,0.0,True
E1026,7.03,7.03,1.92,27.311522048364154,False
E1027,17.04,17.04,20.52,120.42253521126761,False
E1028,2.72,2.7199999999999998,2.6599999999999997,97.7941176470588,False
E1029,7.08,7.08,0.0,0.0,True
E103,4.3100000000000005,4.3100000000000005,0.0,0.0,True
E1030,0.85,0.85,0.0,0.0,True
E1031,8.92,8.920000000000002,2.0400000000000014,22.869955156950688,False
E1032,2.02,2.02,0.0,0.0,True
E1033,2.73,2.73,5.46,200.0,False
E1034,7.86,7.86,0.0,0.0,True
E1035,7.72,7.72,0.9999999999999993,12.95336787564766,True
E1036,206.32000000000002,206.14999999999998,20.130000000000024,9.756688639007377,True
E1037,6.4,6.4,0.0,0.0,True
E1038,6.68,6.68,0.0,0.0,True
E1039,7.65,7.65,0.0,0.0,True
E104,12.66,12.66,6.92,54.66034755134281,False
E1040,6.65,6.65,1.2400000000000002,18.646616541353385,True
E1041,11.64,11.64,14.64,125.77319587628865,False
E1042,11.29,11.290000000000001,2.080000000000001,18.423383525243587,True
E1043,7.79,7.79,2.1999999999999997,28.241335044929393,False
E1044,2.14,2.14,0.0,0.0,True
E1045,6.58,6.58,0.8600000000000001,13.069908814589668,True
E1046,0.98,0.98,0.0,0.0,True
E1047,9.68,9.68,0.92,9.50413223140496,True
E1048,7.56,7.56,1.6,21.164021164021165,False
E1049,1.9300000000000002,1.9300000000000002,0.0,0.0,True
E105,14.18,14.18,9.079999999999998,64.03385049365302,False
E1050,7.779999999999999,7.67,6.51,83.67609254498716,False
E1051,1.3399999999999999,1.3399999999999999,0.0,0.0,True
E1052,2.2600000000000002,2.2600000000000002,0.0,0.0,True
E1053,15.950000000000001,15.38,1.2100000000000004,7.586206896551726,True
E1054,68.12,68.11999999999999,117.66,172.72460364063417,False
E1055,21.98,21.98,0.0,0.0,True
E1056,2.73,2.73,0.0,0.0,True
E1057,8.06,8.06,14.540000000000001,180.3970223325062,False
E1058,7.6499999999999995,7.65,4.04,52.81045751633987,False
E1059,3.2899999999999996,3.2899999999999996,0.74,22.492401215805472,False
E106,7.8100000000000005,7.81,0.6599999999999997,8.450704225352109,True
E1060,13.61,13.61,3.36,24.68772961058046,False
E1061,3.3699999999999997,3.37,0.6200000000000006,18.397626112759664,True
E1062,3.85,3.85,0.0,0.0,True
E1063,1.56,1.56,0.0,0.0,True
E1064,3.93,3.93,0.0,0.0,True
E1065,8.71,8.71,0.0,0.0,True
E1066,2.58,2.5799999999999996,5.16,200.0,False
E1067,7.37,7.37,2.86,38.80597014925373,False
E1068,9.46,9.46,9.82,103.80549682875264,False
E1069,2.66,2.66,1.8000000000000003,67.66917293233084,False
E107,5.06,5.06,0.3,5.928853754940712,True
E1070,7.85,7.85,0.0,0.0,True
E1071,3.32,3.32,3.5,105.42168674698796,False
E1072,3.45,3.4499999999999997,3.3999999999999995,98.55072463768114,False
E1073,7.53,7.53,1.2599999999999998,16.73306772908366,True
E1074,1.9900000000000002,1.9900000000000002,1.3,65.32663316582914,False
E1075,4.2700000000000005,4.2700000000000005,0.0,0.0,True
E1076,1.78,1.78,1.96,110.11235955056179,False
E1077,3.97,3.97,6.66,167.75818639798487,False
E1078,3.48,3.4800000000000004,1.9800000000000002,56.89655172413794,False
E1079,10.19,10.19,6.38,62.61040235525025,False
E108,6.65,6.6499999999999995,4.059999999999999,61.05263157894735,False
E1080,3.0,3.0,2.8600000000000003,95.33333333333336,False
E1081,3.08,3.08,3.7800000000000002,122.72727272727272,False
E1082,7.6899999999999995,7.6899999999999995,0.0,0.0,True
E1083,8.579999999999998,8.579999999999998,3.9000000000000004,45.45454545454547,False
E1084,3.2800000000000002,3.2800000000000002,2.6000000000000005,79.26829268292684,False
E1085,5.48,5.4799999999999995,6.66,121.53284671532846,False
E1086,1.53,1.53,0.0,0.0,True
E1087,7.1899999999999995,7.1899999999999995,0.40000000000000013,5.563282336578584,True
E1088,3.0,3.0,1.2999999999999998,43.33333333333332,False
E1089,5.55,5.55,2.8599999999999994,51.53153153153152,False
E109,9.02,9.02,6.34,70.28824833702883,False
E1090,1.45,1.45,0.0,0.0,True
E1091,4.029999999999999,4.029999999999999,6.4399999999999995,159.80148883374693,False
E1092,4.9399999999999995,4.9399999999999995,0.0,0.0,True
E1093,8.01,7.9,2.1300000000000003,26.591760299625474,False
E1094,1.59,1.59,2.58,162.26415094339623,False
E1095,1.85,1.85,0.0,0.0,True
E1096,6.29,6.29,0.0,0.0,True
E1097,2.4699999999999998,2.4699999999999998,3.5,141.7004048582996,False
E1098,4.53,4.53,2.54,56.07064017660044,False
E1099,1.77,1.77,0.0,0.0,True
E11,11.48,11.48,0.0,0.0,True
E110,8.92,8.92,2.459999999999999,27.57847533632286,False
E1100,13.0,13.0,0.0,0.0,True
E1101,2.42,2.42,0.0,0.0,True
E1102,2.09,2.09,0.0,0.0,True
E1103,4.28,4.279999999999999,1.8999999999999997,44.392523364485974,False
E1104,2.44,2.44,0.0,0.0,True
E1105,2.46,2.46,0.12,4.878048780487805,True
E1106,2.36,2.36,0.0,0.0,True
E1107,3.13,3.1300000000000003,3.16,100.95846645367412,False
E1108,2.25,2.25,2.7,120.0,False
E1109,9.89,9.89,0.0,0.0,True
E111,4.1,4.1,0.0,0.0,True
E1110,3.83,3.83,0.0,0.0,True
E1111,1.18,1.18,0.37999999999999995,32.20338983050847,False
E1112,56.41,56.41,112.82,200.0,False
E1113,1.22,1.2199999999999998,1.1400000000000001,93.44262295081968,False
E1114,1.31,1.31,1.04,79.38931297709924,False
E1115,2.1,2.1,0.0,0.0,True
E1116,3.64,3.64,5.36,147.25274725274724,False
E1117,1.0,1.0,0.0,0.0,True
E1118,5.9399999999999995,5.9399999999999995,7.76,130.63973063973066,False
E1119,6.4399999999999995,6.4399999999999995,9.04,140.3726708074534,False
E112,10.069999999999999,10.07,9.24,91.75769612711024,False
E1120,6.5,6.5,5.819999999999999,89.53846153846152,False
E1121,3.74,3.74,3.1800000000000006,85.02673796791444,False
E1122,5.68,5.680000000000001,11.36,200.0,False
E1123,4.46,4.46,0.0,0.0,True
E1124,2.6,2.6,0.72,27.69230769230769,False
E1125,5.8100000000000005,5.81,9.42,162.13425129087778,False
E1126,0.67,0.67,0.0,0.0,True
E1127,2.18,2.1799999999999997,4.16,190.82568807339447,False
E1128,6.109999999999999,6.109999999999999,0.0,0.0,True
E1129,11.77,11.77,22.18,188.44519966015295,False
E113,6.88,6.880000000000001,4.340000000000001,63.08139534883722,False
E1130,1.53,1.53,0.0,0.0,True
E1131,6.970000000000001,6.970000000000001,10.040000000000001,144.04591104734578,False
E1132,17.73,17.729999999999997,2.760000000000002,15.566835871404411,True
E1133,3.1399999999999997,3.14,0.9999999999999998,31.847133757961778,False
E1134,16.05,16.05,9.06,56.44859813084112,False
E1135,6.220000000000001,6.220000000000001,0.0,0.0,True
E1136,7.42,7.42,14.84,200.0,False
E1137,22.42,22.419999999999998,24.4,108.83140053523638,False
E1138,4.27,4.27,0.0,0.0,True
E1139,5.539999999999999,5.540000000000001,2.700000000000001,48.73646209386284,False
E114,14.17,14.17,4.300000000000001,30.34580098800283,False
E1140,2.91,2.91,0.0,0.0,True
E1141,1.64,1.6400000000000001,3.28,200.0,False
E1142,15.280000000000001,15.280000000000001,0.0,0.0,True
E1143,2.2399999999999998,2.2399999999999998,1.6599999999999997,74.10714285714285,False
E1144,15.29,15.29,20.5,134.0745585349902,False
E1145,4.279999999999999,4.279999999999999,0.0,0.0,True
E1146,5.49,5.490000000000001,3.78,68.85245901639344,False
E1147,0.61,0.61,0.0,0.0,True
E1148,3.53,3.53,0.0,0.0,True
E1149,4.16,4.16,0.0,0.0,True
E115,9.57,9.57,6.720000000000001,70.21943573667713,False
E1150,8.25,8.25,0.0,0.0,True
E1151,5.79,5.79,4.0,69.08462867012089,False
E1152,2.1799999999999997,2.18,0.8799999999999997,40.36697247706421,False
E1153,0.96,0.96,0.0,0.0,True
E1154,4.15,4.15,8.3,200.0,False
E1155,0.75,0.75,1.5,200.0,False
E1156,1.1600000000000001,1.1600000000000001,0.5600000000000002,48.27586206896552,False
E1157,5.52,5.52,0.0,0.0,True
E1158,2.2199999999999998,2.2199999999999998,0.0,0.0,True
E1159,3.6399999999999997,3.6399999999999997,2.3599999999999994,64.83516483516483,False
E116,12.879999999999999,12.879999999999999,8.92,69.25465838509318,False
E1160,22.75,22.75,17.96,78.94505494505495,False
E1161,2.93,2.9299999999999997,2.72,92.83276450511944,False
E1162,1.67,1.67,2.34,140.11976047904193,False
E1163,2.71,2.71,0.0,0.0,True
E1164,3.0100000000000002,3.0100000000000002,2.62,87.04318936877075,False
E1165,2.18,2.18,0.0,0.0,True
E1166,7.17,7.17,2.16,30.1255230125523,False
E1167,3.3,3.3000000000000003,2.0799999999999996,63.030303030303024,False
E1168,3.7,3.7,3.72,100.54054054054053,False
E1169,7.91,6.57,8.66,109.48166877370417,False
E117,10.99,10.99,13.24,120.47315741583257,False
E1170,1.23,1.23,0.0,0.0,True
E1171,1.02,1.02,0.0,0.0,True
E1172,4.63,4.63,4.42,95.46436285097192,False
E1173,1.95,1.95,0.0,0.0,True
E1174,3.24,3.24,0.0,0.0,True
E1175,2.58,2.58,0.0,0.0,True
E1176,1.2,1.2,1.3599999999999999,113.33333333333334,False
E1177,2.7399999999999998,2.7399999999999998,0.0,0.0,True
E1178,0.88,0.88,0.0,0.0,True
E1179,4.39,4.39,0.0,0.0,True
E118,3.08,3.08,0.0,0.0,True
E1180,1.54,1.54,0.0,0.0,True
E1181,7.239999999999999,7.239999999999999,9.36,129.28176795580112,False
E1182,0.7,0.7,0.0,0.0,True
E1183,4.800000000000001,4.800000000000001,3.1200000000000006,65.0,False
E1184,15.42,15.42,0.0,0.0,True
E1185,6.89,6.89,0.0,0.0,True
E1186,3.4000000000000004,3.4000000000000004,0.0,0.0,True
E1187,2.68,2.68,0.7,26.119402985074625,False
E1188,1.14,1.14,0.0,0.0,True
E1189,10.940000000000001,10.940000000000001,7.26,66.36197440585008,False
E119,7.7700000000000005,7.7700000000000005,0.0,0.0,True
E1190,6.140000000000001,6.140000000000001,0.0,0.0,True
E1191,14.21,14.21,0.0,0.0,True
E1192,3.14,3.14,0.0,0.0,True
E1193,4.529999999999999,4.53,4.859999999999999,107.28476821192054,False
E1194,2.77,2.77,0.0,0.0,True
E1195,1.17,1.17,0.0,0.0,True
E1196,1.19,1.19,0.0,0.0,True
E1197,10.340000000000002,10.34,0.759999999999999,7.3500967117988285,True
E1198,5.01,5.01,2.76,55.08982035928144,False
E1199,6.34,6.34,2.1000000000000014,33.12302839116722,False
E12,3.79,3.79,0.0,0.0,True
E120,6.54,6.540000000000001,0.28000000000000064,4.281345565749246,True
E1200,4.7299999999999995,4.16,5.05,106.76532769556026,False
E1201,6.38,6.33,0.11000000000000025,1.7241379310344866,True
E1202,1.32,1.32,0.0,0.0,True
E1203,1.9100000000000001,1.91,1.36,71.20418848167539,False
E1204,6.359999999999999,6.36,11.219999999999999,176.41509433962267,False
E1205,0.21,0.21,0.0,0.0,True
E1206,6.9,6.9,0.0,0.0,True
E1207,3.16,3.16,0.0,0.0,True
E1209,1.85,1.85,0.0,0.0,True
E121,5.77,5.77,1.3799999999999994,23.916811091854413,False
E1210,1.8499999999999999,1.8499999999999999,0.0,0.0,True
E1211,1.56,1.56,0.0,0.0,True
E1212,3.55,3.55,0.0,0.0,True
E1213,5.13,5.13,1.2599999999999996,24.56140350877192,False
E1214,1.57,1.57,0.0,0.0,True
E1215,0.84,0.84,0.43999999999999995,52.38095238095237,False
E1216,19.119999999999997,19.12,23.659999999999997,123.74476987447699,False
E1217,55.35,54.28,4.509999999999999,8.148148148148145,True
E1218,1.6,1.6,0.0,0.0,True
E1219,3.6,3.6,0.0,0.0,True
E122,7.01,7.01,0.0,0.0,True
E1220,19.62,19.62,38.78,197.65545361875635,False
E1221,8.78,8.78,0.0,0.0,True
E1222,1.78,1.78,0.0,0.0,True
E1223,9.559999999999999,9.56,7.720000000000001,80.75313807531383,False
E1224,1.41,1.41,0.0,0.0,True
E1225,1.8399999999999999,1.8399999999999999,1.2599999999999998,68.4782608695652,False
E1226,1.26,1.26,0.0,0.0,True
E1227,9.979999999999999,9.979999999999999,0.72,7.214428857715432,True
E1228,7.319999999999999,7.32,12.16,166.12021857923497,False
E1229,1.89,1.89,0.0,0.0,True
E123,187.6,187.59999999999997,284.21999999999997,151.50319829424305,False
E1230,1.25,1.25,0.0,0.0,True
E1231,3.64,3.64,0.0,0.0,True
E1232,21.419999999999998,21.419999999999998,8.159999999999998,38.095238095238095,False
E1233,8.06,8.06,0.0,0.0,True
E1234,1.28,1.28,0.0,0.0,True
E1235,2.38,2.38,0.0,0.0,True
E1236,2.07,2.0700000000000003,0.7800000000000001,37.681159420289866,False
E1237,7.91,7.91,2.2800000000000007,28.824273072060688,False
E1238,2.7800000000000002,2.7800000000000002,2.3600000000000003,84.89208633093526,False
E1239,1.96,1.96,0.0,0.0,True
E124,3.4800000000000004,3.48,0.3800000000000003,10.919540229885063,True
E1240,2.2199999999999998,2.2199999999999998,1.3599999999999999,61.26126126126127,False
E1241,0.55,0.55,0.0,0.0,True
E1242,3.72,3.72,0.0,0.0,True
