region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,0.0,0.48,23.83,0.41000000000000003,0.54,0.0,0.0,0.0,0.0,0.0,611.96,0.6100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,5.61,0.0,88.89,8.58,27.93,0.0,714.07,0.1
2,0.0,0.0,0.0,2.19,13.040000000000001,0.0,0.0,0.35,0.0,0.0,0.0,0.0,1606.68,107.85,0.0,0.0,0.0,0.0,9.47,0.0,253.19,173.26,205.25,2.96,1992.25,1.9200000000000002
3,0.0,0.0,0.0,13.27,39.49,0.01,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901.8,257.96,0.0,144.63,0.0,572.11,40.97,217.34,9.71,1856.14,1.05
4,0.0,9.88,296.13,7.71,0.0,0.7,1.49,0.0,2715.8,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09,43.12,6.640000000000001,124.26,0.0,1192.63,0.0
5,0.05,0.8200000000000001,58.01,550.61,0.0,0.0,227.07,0.0,44.41,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.23,0.0,18.58,132.58,14.7,815.09,0.0,355.07,5.45
6,0.0,1.73,7.56,42.839999999999996,0.0,0.0,15.88,0.0,87.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.619999999999997,13.4,0.0,412.41,0.0,377.38,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.75,0.0,0.0,0.0,0.8200000000000001,0.0,12.950000000000001,0.0,31.86,0.0,1591.36,0.0
