crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,11512545.74
BA_IRR,756672.06
BA_PER,5112.0
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,9203806.630971428
CS_BT_NISM,8356.109622857144
CS_CGT_NIM,1814804.9718285715
CS_CGT_NISM,1472.8836914285716
CS_EGT_NIM,4539130.364057143
CS_EGT_NISM,248296.95377142855
CS_MG_NISM,4820980.432857144
CS_NGT_NIM,8242189.811428572
CS_NGT_NISM,597025.5721142857
CS_SBT_NIM,726936.4069999999
IG_PLA,0.0
IG_TUT,0.0
JA,223248.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
PN_PIQ,4443395.0
VE_BTGT,0.0
