crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.05,100.79,99.95041650138833,False
AN,132.67000000000002,398.44,265.77,200.32411245948592,False
BA,1920.8,670.81,1249.99,65.0765306122449,False
BC,147.21,247.67,100.45999999999998,68.24264655933699,False
CS,12812.93,10484.74,2328.1900000000005,18.17062920034684,False
IG,145.42,252.82,107.4,73.85504057213589,False
JA,621.47,1116.24,494.77,79.6128533959805,False
MA,1086.97,2078.29,991.3199999999999,91.20030911616696,False
ME,189.36,12.670000000000002,176.69,93.30904098014364,False
PN,6109.43,8078.9,1969.4699999999993,32.23655889338284,False
VE,310.89,8.52,302.37,97.25948084531507,False
TOTAL,23577.99,23349.149999999998,8087.219999999999,34.299870345182086,False
