island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,0.05,12.43,361.7,601.16,0.0,0.7,244.44,0.0,2847.72,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.23,0.0,92.29,189.1,21.34,1351.76,0.0,1925.08,5.45
2,0.0,0.48,23.83,15.87,53.07,0.01,0.0,3.23,0.0,0.0,611.96,0.6100000000000001,1606.68,107.85,0.0,2901.8,257.96,0.0,159.71,0.0,914.19,222.81,450.52,12.670000000000002,4562.46,3.0700000000000003
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.75,0.0,0.0,0.0,0.8200000000000001,0.0,12.950000000000001,0.0,31.86,0.0,1591.36,0.0
