island,AG,AN_PA,BC_BT,IG_PLA,MA_PAI_NON_NI,MA_ROTA,ME,PN_PIQ,TH
1,293.97,716.43,156.13,284.73,153.23,2755.17,0.0,4226.13,550.78
2,0.0,0.0,0.0,0.0,0.0,8826.39,206.83,4209.05,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3757.82,0.0
