region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,VE_BTGT
1,0.0,0.48,21.87,6.33,14.98,17.07,0.0,0.0,0.0,0.0,0.0,797.51,1.95,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,8.31,14.67,14.5,0.0,97.39,589.37,0.2
2,0.0,0.0,0.0,6.73,88.34,28.27,0.57,0.0,1.7,0.0,0.0,0.0,0.0,2018.88,135.98,0.0,0.0,0.0,0.0,103.77,0.0,44.56,213.84,74.92999999999999,1.69,230.07,1654.88,0.8500000000000001
3,0.0,0.0,0.0,73.37,159.44,42.76,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3579.61,560.85,0.0,150.36,0.0,70.93,57.38,113.76,2.56,862.09,1272.1299999999999,3.83
4,0.0,17.96,338.06,66.43,0.0,72.82,4.73,3.0700000000000003,0.0,3135.84,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.63,22.89,89.33,0.0,553.39,662.38,0.0
5,0.12000000000000001,3.08,55.52,938.64,0.0,91.11,114.17999999999999,208.33,0.0,124.67,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.01,0.0,1.6099999999999999,219.59,149.77,94.75,0.0,455.35,173.24,0.79
6,6.54,7.15,7.56,97.27,0.0,59.51,79.21,32.53,0.0,108.21000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.35,34.26,0.0,238.05,0.0,234.37,318.6,0.0
7,0.0,0.0,0.0,13.79,0.0,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084.47,0.0,0.0,0.0,16.41,0.0,12.58,0.0,25.82,0.0,126.01,1425.54,0.0
