crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,6.66,94.18,93.39547798492661,False
AN,132.67000000000002,451.68,319.01,240.4537574432803,False
BA,1920.8,2012.22,91.42000000000007,4.7594752186588964,True
BC,147.21,247.25,100.03999999999999,67.95733985462944,False
CS,12812.93,12769.89,43.04000000000087,0.33591067772945665,True
IG,145.42,297.8,152.38000000000002,104.78613670746805,False
JA,621.47,430.86,190.61,30.670828841295638,False
MA,1086.97,1109.69,22.720000000000027,2.090214081345394,True
ME,189.36,4.25,185.11,97.7555978031263,False
PN,6109.43,6096.14,13.289999999999964,0.21753256850475353,True
VE,310.89,5.67,305.21999999999997,98.17620380198784,False
TOTAL,23577.99,23432.109999999997,1517.0200000000011,6.434051418293082,True
