island,AG,AN_PA,BC_BT,IG_PLA,MA_PAI_NON_NI,MA_ROTA,ME,PN_PIQ,TH
1,293.99,716.46,156.05,284.73,20.0,2477.33,92.64,3713.48,400.66
2,0.0,0.0,0.0,0.0,0.0,7406.12,114.11,4809.93,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.59,0.0
