region,AG,AN_PA,BC_BT,IG_PLA,MA_PAI_NON_NI,MA_ROTA,ME,PN_PIQ,TH
1,0.0,0.0,0.0,0.0,0.0,975.68,4.62,552.15,0.0
2,0.0,0.0,0.0,0.0,0.0,2609.96,83.32,1758.23,0.0
3,0.0,0.0,0.0,0.0,0.0,3820.48,26.17,2499.55,0.0
4,120.16,19.419999999999998,81.13,135.19,1.79,856.15,11.799999999999999,3332.01,0.0
5,120.4,432.37,48.35,119.04,2.98,1621.18,80.84,23.71,98.03
6,53.43,264.67,26.57,30.5,15.23,0.0,0.0,357.76,302.63
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.59,0.0
