crop,labor_cost
AG,5015897.050666667
AN_NU,224308.56
AN_PA,2506407.04
BA_INT,622623.6559375001
BA_IRR,985128.3356818182
BA_PER,90495.66370833332
BC_BT,2202915.83875
BC_GTMG,21941.722499999996
CS_BT_NIM,569997.5757142857
CS_BT_NISM,673.9842857142858
CS_CGT_NIM,112801.71500000001
CS_CGT_NISM,195.1007142857143
CS_EGT_NIM,315702.5164285715
CS_EGT_NISM,21488.668571428574
CS_MG_NISM,395461.265
CS_NGT_NIM,560829.8128571429
CS_NGT_NISM,80391.34785714287
CS_SBT_NIM,27613.35333333333
IG_PLA,5179668.4799999995
IG_TUT,1215629.97
JA,53029.530000000006
MA_PLBIO,5942.7
MA_ROTA,31685596.62
MA_TO_CO_JA,17483125.8
ME,41369.5
NC,0.0
PN_PIQ,14910979.23
VE_BTGT,358750.8686666666
