farm,etp
E1,0.09669303938127835
E10,0.7922752022401991
E100,3.104563433416304
E1000,0.08676415681393902
E1001,0.011551248999911105
E1002,0.5106729487065517
E1003,0.24306160547604233
E1004,0.9044380056004978
E1005,0.20904169259489733
E1006,4.762345986309894
E1007,0.664819954366314
E1008,0.0716116988176727
E1009,0.13599253266957065
E101,0.8711014312383323
E1010,1.26718730553827
E1011,1.8955188757519188
E1012,10.80129255933861
E1013,0.07461196550804516
E1014,0.02195395146235221
E1015,0.20746555249355497
E1016,0.21291848164281268
E1017,0.63980087118855
E1018,1.1081891723708774
E1019,1.2301080688653805
E102,0.1670068450528936
E1020,1.5136574362165527
E1021,0.024763979020357367
E1022,1.6560858742999378
E1023,0.13195572939816874
E1024,1.0739170296618958
E1025,0.020808071828606986
E1026,0.5512009956440573
E1027,1.3360547604231487
E1028,2.076179215930305
E1029,0.05601564583518535
E103,0.23718108276291225
E1030,0.006725042225975642
E1031,0.4301057871810828
E1032,1.4178967019290603
E1033,0.21405102675793405
E1034,0.062186861054315944
E1035,0.4781082762912258
E1036,6.400588496755267
E1037,0.050635612054404845
E1038,0.06131033869677305
E1039,0.08875011112098853
E104,0.5057400657836252
E1040,0.32018401635700955
E1041,4.580497822028625
E1042,0.24288825673393188
E1043,0.25830740510267575
E1044,1.502128189172371
E1045,0.39906836163214504
E1046,0.0077535780958307415
E1047,0.3881749488843453
E1048,0.7824529143331259
E1049,1.5507405102675793
E105,1.1773988799004356
E1050,1.1540022168637214
E1051,0.010601831273891013
E1052,0.17719975108898572
E1053,0.17715352475775625
E1054,17.623590541381457
E1055,0.2568130500488932
E1056,0.021599253266957063
E1057,2.981942867143746
E1058,0.32007467330429373
E1059,0.48275280024891104
E106,0.5194026135656503
E1060,0.3357125077784692
E1061,0.07066672593119389
E1062,0.30186683260734287
E1063,0.018213174504400395
E1064,0.30813939016801495
E1065,0.6475544492843808
E1066,0.20228998133167392
E1067,0.6436527691350343
E1068,0.7417299315494711
E1069,0.12423148724331051
E107,0.5097460329807094
E1070,0.6154947106409459
E1071,0.21814561294337276
E1072,0.22058494088363412
E1073,0.14666459240821406
E1074,0.1560298693217175
E1075,0.3347977598008712
E1076,0.13956440572495332
E1077,0.31127566894835096
E1078,0.2728562538892346
E1079,0.45127566894835097
E108,0.27114854653747
E1080,0.18268823895457373
E1081,0.2414934660858743
E1082,0.277517112632234
E1083,0.2941132545115121
E1084,0.1590790292470442
E1085,0.4109831985065339
E1086,0.014026135656502802
E1087,0.2072121966397013
E1088,0.10349719975108898
E1089,0.41712507778469193
E109,0.6529993777224642
E1090,0.11369010578718107
E1091,0.38638155984235634
E1092,0.32504044803982574
E1093,0.62803982576229
E1094,0.12466708151835718
E1095,0.14505289359054138
E1096,0.07232376211218774
E1097,0.19366521468574985
E1098,0.18756689483509648
E1099,0.01400391145879634
E11,0.12537469997333098
E110,0.20034047470886301
E1100,0.28017957151746825
E1101,0.17719975108898567
E1102,0.1260174237710019
E1103,0.14560227575784515
E1104,0.19131300560049783
E1105,0.2597510889856876
E1106,0.18504044803982572
E1107,0.19288114499066586
E1108,0.9384888378967019
E1109,0.4333291848164281
E111,0.23286869943995023
E1110,0.26532047293092714
E1111,0.03168992799359943
E1112,6.4344185853557345
E1113,0.09565650280024891
E1114,0.06725575606720598
E1115,0.16465463596764157
E1116,0.2854013690105787
E1117,0.07840696950840075
E1118,0.46573739887990045
E1119,0.5049408836341007
E112,0.9812128578095831
E1120,0.5096453018046049
E1121,0.21082762912258868
E1122,4.310990406554656
E1123,0.34969508400746735
E1124,0.22298905828666252
E1125,0.5566651628292885
E1126,0.005300915636945507
E1127,0.8585862632233976
E1128,0.06311761045426259
E1129,8.886608587429993
E113,0.9781378344741756
E1130,0.01341630367143746
E1131,0.7176796826384567
E1132,0.9146759711974398
E1133,2.694784730864966
E1134,10.421575917859364
E1135,0.09291848164281269
E1136,0.759424133997096
E1137,3.0989129589296827
E1138,0.04647257534003022
E1139,0.43437461107654013
E114,0.33863276735709846
E1140,0.0230233798559872
E1141,0.48916614810205356
E1142,0.17988976797937595
E1143,1.7097946484131923
E1144,4.206944617299315
E1145,0.044212818917237086
E1146,0.3431202773579874
E1147,0.004826206773935461
E1148,0.17184194150591162
E1149,0.09003733665214686
E115,0.7503546981953951
E1150,0.07791714819095032
E1151,1.6037398879900435
E1152,0.02480931638367855
E1153,0.673851897946484
E1154,0.4647714685749844
E1155,0.19545478116573323
E1156,0.03537025513378967
E1157,0.05988710107565117
E1158,0.017564227931371676
E1159,2.8987056627255754
E116,0.6503422526446796
E1160,4.780894912881145
E1161,1.0499315494710642
E1162,0.41013787336652147
E1163,0.21248288736776605
E1164,0.16940261356565028
E1165,0.01724775535603165
E1166,0.19043915014667973
E1167,0.3161358120721842
E1168,0.29010578718108276
E1169,5.467616677037959
E117,0.8616925948973242
E1170,0.06050404480398257
E1171,0.011682816250333366
E1172,0.28461729931549473
E1173,0.015428038047826475
E1174,0.22481020535158683
E1175,0.15820784069695085
E1176,0.0940883634100809
E1177,0.03116188105609388
E1178,0.05126944617299316
E1179,3.0814685749844433
E118,0.055451151213441206
E1180,0.012184194150591165
E1181,0.18726197884256376
E1182,0.05488487865588052
E1183,0.22110765401369015
E1184,0.18058849675526714
E1185,0.27107031736154324
E1186,0.08823095386256556
E1187,0.21013067828251397
E1188,0.009019468397190861
E1189,0.5136501022313095
E119,0.20497288647879813
E1190,5.302999377722465
E1191,0.804934660858743
E1192,0.24619788425637834
E1193,0.29816428126944616
E1194,0.021915725842297094
E1195,0.009256822828695886
E1196,0.0094150591163659
E1197,0.15360476486798827
E1198,0.17780869410614278
E1199,3.9573419859543066
E12,0.04160458707440661
E120,0.5127815805849408
E1200,1.242689120514416
E1201,0.07242688238954574
E1202,0.010443594986221
E1203,0.578836911429164
E1204,1.5743508867454887
E1205,0.0016614810205351587
E1206,0.05459151924615521
E1207,0.025001333451862392
E1208,0.0
E1209,0.0146368566094764
E121,0.13999999999999999
E1210,0.014636856609476398
E1211,0.012342430438261177
E1212,0.035086674371055206
E1213,0.349085252022402
E1214,0.04085874299937773
E1215,0.02561294337274424
E1216,5.5618931238332285
E1217,3.7521344119477287
E1218,0.012658903013601211
E1219,0.028482531780602727
E122,0.5496328562538892
E1220,10.774760423148726
E1221,0.09652354283343703
E1222,0.01956855424185853
E1223,4.006102066479984
E1224,0.011155658280736065
E1225,0.08629122588674548
E1226,0.009968886123210953
E1227,0.3373197617566006
E1228,1.4908169615076896
E1229,0.014953329184816429
E123,17.275162570006223
E1230,0.009889767979375946
E1231,0.1985438705662726
E1232,1.8926505911636589
E1233,0.0637692239310161
E1234,0.010127122410880969
E1235,0.02695884078584763
E1236,0.09522090852520224
E1237,0.2797822028624767
E1238,0.14878655880522715
E1239,0.015507156191661483
E124,0.37307197676830534
E1240,0.1473615432482887
E1241,0.004351497910925416
E1242,0.054105253800337816
E1243,0.5556929504844875
E1244,0.0240519157258423
E1245,0.016614810205351587
E1246,0.05779802649124367
E1247,3.2625388923459866
E1248,0.008861232109520847
E1249,0.0
E125,0.7179464841319229
E1250,0.2874797759800871
E1251,0.15067205973864342
E1252,0.017405991643701664
E1253,0.055451151213441206
E1254,0.06980176015645835
E1255,0.528462974486621
E1256,0.6554742643790558
E1257,0.2546182845882597
E1258,0.34993421637478883
E1259,0.011234776424571073
E126,0.31362787803360304
E1260,0.11107654013690106
E1261,0.6908525202240198
E1262,0.008940350253355853
