crop,labor_cost
AG,3509.8613333333333
AN_NU,1053517.02
AN_PA,2414903.7199999997
BA_INT,11991180.9609375
BA_PER,1302243.989375
BC_BT,1161858.3193750002
BC_GTMG,1197844.824375
CS_BT_NIM,386033.3678571429
CS_CGT_NIM,40037.031428571434
CS_EGT_NIM,227012.49071428573
CS_NGT_NIM,110214.16714285714
CS_SBT_NIM,38336.666666666664
IG_PLA,137803.68
IG_TUT,1244661.315
JA,0.0
MA_MOBIO,216652.80000000002
MA_PLBIO,35095209.12
MA_ROTA,9130733.955
MA_TO_CO_JA,18137202.240000002
NC,0.0
PN_PIQ,20688285.240000002
VE_BTGT,38070.604
