crop,gross_margin
AG,2759.3973233333327
AN_NU,1081540.4589333334
AN_PA,5847261.621999999
BA_INT,5133603.9525
BA_PER,699552.5982500002
BC_BT,1401796.6316250002
BC_GTMG,1411930.112625
CS_BT_NIM,4144241.5062042857
CS_CGT_NIM,400982.22640114295
CS_EGT_NIM,2236997.671290572
CS_NGT_NIM,1038453.1266497144
CS_SBT_NIM,368893.1493333332
IG_PLA,150771.13064999998
IG_TUT,734222.95875
JA,959564.0
MA_MOBIO,39177.6
MA_PLBIO,4585107.84
MA_ROTA,9952961.830833
MA_TO_CO_JA,21603283.310983997
NC,0.0
PN_PIQ,16970114.16
VE_BTGT,29611.659039999995
