crop,production_tonnes
AG,9.200000000000001
AN_NU,3103.6000000000004
AN_PA,12506.9
BA_INT,22342.5
BA_PER,2675.7000000000003
BC_BT,3200.86
BC_GTMG,3236.22
CS_BT_NIM,144954.9
CS_CGT_NIM,12799.08
CS_EGT_NIM,65660.01000000001
CS_NGT_NIM,30200.04
CS_SBT_NIM,13650.0
IG_PLA,238.14000000000001
IG_TUT,1215.45
JA,0.0
MA_MOBIO,201.6
MA_PLBIO,31890.239999999998
MA_ROTA,19243.98
MA_TO_CO_JA,37344.96
NC,0.0
PN_PIQ,6991.4328000000005
VE_BTGT,98.31
