region,matched_plots,total_plots,plot_match_pct,matched_ha,total_ha,area_match_pct
1,561,1462,38.372093023255815,755.75,1500.36,50.371244234717004
2,1874,3568,52.52242152466368,3029.31,4403.72,68.78979589983014
3,1308,4785,27.33542319749216,1791.84,6148.64,29.142054177834446
4,1610,3790,42.480211081794195,2410.28,4479.21,53.81038174142316
5,620,2492,24.879614767255216,740.58,2401.02,30.84439113376815
6,356,847,42.03069657615112,539.52,1013.23,53.247535110488236
7,1150,5253,21.89225204644965,1207.78,3631.81,33.255594317984695
TOTAL,7479,22197,33.6937423976213,10475.06,23577.989999999998,44.42728154520381
