type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,1,10,0,0,15,28,7,6
2,0,0,0,27,0,0,40,7,61,11
3,0,0,0,0,622,94,422,196,15,22
4,0,0,0,2,0,0,6,840,3,11
5,0,0,2,1,2,1,159,42,51,24
6,0,0,0,6,0,0,3,1030,0,8
7,0,0,0,0,0,0,8,5,201,2
8,0,0,0,2,0,0,5,577,0,13
