type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,8,29,3,2,5,12,0,8
2,0,0,0,102,0,1,13,0,30,0
3,0,0,0,0,1349,12,5,2,3,0
4,0,0,1,29,156,622,15,12,0,27
5,0,0,8,1,11,38,174,3,45,2
6,0,0,0,19,6,88,7,894,0,33
7,0,0,0,0,4,2,5,1,204,0
8,0,0,0,29,5,114,4,101,0,344
