island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,39.83,4.4,156.32,1086.45,0.0,213.91,179.49,9.22,3446.8,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.45,0.0,29.729999999999997,271.31,363.68,717.5,0.0,1034.34,56.28
2,0.0,0.07,5.5,85.28999999999999,293.06,113.56,1.8299999999999998,0.0,0.0,0.0,800.16,3.76,2027.3,132.54,0.0,3509.39,560.64,0.0,29.490000000000002,0.0,123.97,269.23,343.74,218.29,3451.16,32.55
3,0.0,0.0,0.0,31.169999999999998,0.0,149.7,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2619.21,0.0,0.0,0.0,2.62,0.0,19.23,0.0,36.269999999999996,0.0,759.54,0.0
