region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,0.0,0.07,5.5,3.19,30.51,19.75,0.96,0.0,0.0,0.0,800.16,3.76,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,10.07,12.91,22.72,2.52,574.1899999999999,7.75
2,0.0,0.0,0.0,5.7,98.15,39.57,0.8699999999999999,0.0,0.0,0.0,0.0,0.0,2027.3,132.54,0.0,0.0,0.0,0.0,10.05,0.0,39.89,202.58,166.99,27.13,1634.24,6.83
3,0.0,0.0,0.0,76.4,164.4,54.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.39,560.64,0.0,15.27,0.0,74.01,53.74,154.03,188.64,1242.73,17.97
4,2.74,2.89,142.95,116.24,0.0,97.99,0.94,1.6800000000000002,3255.86,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,50.65,17.51,184.3,0.0,577.92,0.0
5,17.04,0.0,12.57,870.51,0.0,65.82,103.97,5.93,84.69,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.45,0.0,5.59,191.76,346.17,243.01,0.0,150.23000000000002,50.63
6,20.05,1.51,0.8,99.7,0.0,50.1,74.58,1.61,106.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78,28.9,0.0,290.19,0.0,306.19,5.65
7,0.0,0.0,0.0,31.169999999999998,0.0,149.7,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2619.21,0.0,0.0,0.0,2.62,0.0,19.23,0.0,36.269999999999996,0.0,759.54,0.0
