type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,3,6,16,2,0,20,13,1,6
2,0,5,0,47,0,0,74,0,20,0
3,0,6,0,0,1302,30,29,3,1,0
4,0,20,0,10,292,302,174,39,0,25
5,0,38,0,4,13,13,187,1,26,0
6,0,1,0,13,2,2,25,999,0,5
7,0,10,0,1,1,3,11,0,190,0
8,0,1,0,16,8,4,103,366,0,99
