crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,28.53,72.31,71.70765569218564,False
AN,132.67000000000002,261.95,129.27999999999997,97.44478781940148,False
BA,1920.8,584.55,1336.25,69.5673677634319,False
BC,147.21,177.8,30.590000000000003,20.779838326200668,False
CS,12812.93,9645.03,3167.8999999999996,24.724243401001953,False
IG,145.42,112.15,33.26999999999998,22.87855865768119,False
JA,621.47,466.36,155.11,24.95856598065876,False
MA,1086.97,1039.49,47.48000000000002,4.368105835487642,True
ME,189.36,4.25,185.11,97.7555978031263,False
PN,6109.43,6329.12,219.6899999999996,3.5959164766598453,True
VE,310.89,9.45,301.44,96.96033966997975,False
TOTAL,23577.99,18658.68,5678.4299999999985,24.0836050910192,False
