region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_MOBIO,MA_PLBIO,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,PN_TOUR,VE_BTGT
1,0.0,2.04,16.71,0.0,5.9799999999999995,3.89,0.0,0.0,1.22,0.0,0.0,603.81,1.43,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,7.87,0.0,0.0,15.65,7.44,0.0,97.39,607.23,16.49,0.03
2,0.0,0.0,0.0,4.25,32.17,23.91,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1635.78,100.28,0.0,0.0,0.0,0.0,19.279999999999998,0.0,44.64,0.0,0.0,222.82,17.8,1.69,230.07,1686.47,47.08,1.96
3,0.0,0.0,0.0,6.18,26.31,17.54,0.0,0.0,12.649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2933.11,380.99,0.0,61.59,0.0,87.08,0.0,0.0,41.94,74.56,2.56,862.09,1320.47,103.16,2.75
4,2.25,14.02,162.8,22.25,0.0,33.33,0.0,7.95,0.0,2242.59,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,36.7,0.0,3.87,18.06,66.64,0.0,553.39,616.61,49.339999999999996,0.0
5,0.97,0.45999999999999996,55.81,242.17,0.0,22.67,1.7999999999999998,135.73,0.0,38.46,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.85,0.0,2.99,243.03,2.1799999999999997,76.51,122.59,63.97,0.0,455.35,135.18,5.12,2.75
6,25.31,2.55,7.56,80.65,0.0,34.07,0.05,19.05,0.0,103.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.63,35.88,1.17,53.89,0.0,224.11,0.0,234.37,280.52,6.97,1.96
7,0.0,0.0,0.0,8.01,0.0,19.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388.56,0.0,0.0,0.0,2.4899999999999998,0.0,11.16,0.0,0.0,0.0,26.29,0.0,126.01,1451.15,3.33,0.0
