type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,5,5,19,1,0,17,13,1,6
2,0,5,0,70,0,0,48,0,23,0
3,0,7,0,0,1306,25,28,3,1,1
4,0,31,0,15,222,366,114,71,0,43
5,0,45,0,4,12,7,187,1,25,1
6,0,13,0,16,2,1,43,963,0,9
7,0,13,0,1,1,1,9,0,191,0
8,0,28,0,22,9,7,98,277,0,156
