island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_MOBIO,MA_PLBIO,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,PN_TOUR,VE_BTGT
1,28.689999999999998,18.63,340.82,915.1,0.0,100.42,9.59,177.79,0.0,2619.81,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.32,0.0,21.909999999999997,302.56,2.78,111.19,185.08,349.33,0.0,1243.11,994.13,56.86,1.93
2,0.0,2.04,19.09,52.03,111.83,51.29,0.0,0.0,3.8200000000000003,0.0,0.0,584.97,1.48,1617.39,100.91,0.0,2879.78,379.23,0.0,81.67,0.0,102.9,0.0,0.0,283.1,69.5,5.16,1189.55,3678.7,215.7,6.0600000000000005
3,0.0,0.0,0.0,10.92,0.0,24.580000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527.64,0.0,0.0,0.0,7.859999999999999,0.0,11.78,0.0,0.0,0.0,26.3,0.0,126.01,1423.29,7.4799999999999995,0.0
