type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,15,10,0,1,30,3,5,3
2,0,0,19,0,0,0,44,0,83,0
3,0,0,0,0,1291,52,13,4,11,0
4,0,0,50,5,53,508,85,58,0,103
5,0,0,3,2,8,9,180,0,80,0
6,0,0,30,14,0,2,21,960,0,20
7,0,0,0,0,1,1,1,0,213,0
8,0,0,29,17,0,1,12,441,0,97
