crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,579.01,478.16999999999996,474.18683062276864,False
AN,132.67000000000002,750.38,617.71,465.59885430014316,False
BA,1920.8,253.35,1667.45,86.81018325697626,False
BC,147.21,769.09,621.88,422.44412743699473,False
CS,12812.93,10530.46,2282.470000000001,17.81380215142049,False
IG,145.42,492.84,347.41999999999996,238.90799064777883,False
JA,621.47,103.87,517.6,83.28640159621543,False
MA,1086.97,2608.93,1521.9599999999998,140.01858376956122,False
ME,189.36,209.75,20.389999999999986,10.76784959864807,True
PN,6109.43,6096.0,13.430000000000291,0.2198241079773447,True
VE,310.89,1058.94,748.0500000000001,240.6156518382708,False
TOTAL,23577.99,23452.62,8836.53,37.47787661289194,False
