region,matched_plots,total_plots,plot_match_pct,matched_ha,total_ha,area_match_pct
1,751,1462,51.36798905608755,1032.4,1500.36,68.81015223013145
2,1929,3568,54.06390134529148,3192.29,4403.72,72.49075781384829
3,2532,4785,52.9153605015674,3966.24,6148.64,64.50597205235628
4,2052,3790,54.142480211081796,3069.16,4479.21,68.5201185030396
5,338,2492,13.563402889245586,400.3,2401.02,16.672081032227968
6,320,847,37.78040141676505,494.74,1013.23,48.828005487401676
7,3168,5253,60.30839520274129,2578.63,3631.81,71.00123629815437
TOTAL,11090,22197,49.9617065369194,14733.76,23577.989999999998,62.489465811123004
