region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,VE_BTGT
1,0.0,0.56,32.52,5.0200000000000005,4.0,8.97,0.0,44.12,0.0,0.0,659.81,4.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,27.77,0.0,7.23,27.38,8.84,7.67,97.39,565.82,90.47
2,0.0,0.0,0.0,7.87,42.74,16.62,0.0,130.96,0.0,0.0,0.0,0.0,1677.96,103.67999999999999,0.0,0.0,0.0,0.0,83.55,0.0,16.06,344.15,16.62,37.25,230.07,1545.29,367.42
3,0.0,0.0,0.0,1.42,7.07,2.73,0.0,133.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952.63,475.42,0.0,212.26,0.0,8.65,258.23,103.53,164.83,862.09,1239.6299999999999,541.66
4,102.91,180.09,443.3,30.44,0.0,28.15,37.98,0.0,2718.28,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.27,40.21,51.21,135.39000000000001,0.0,553.39,605.33,0.0
5,250.41,13.11,58.67,0.98,0.0,1.3599999999999999,360.35,0.0,29.11,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.29,0.0,4.18,2.75,1115.88,225.91,0.0,455.35,103.66,36.47
6,225.69,17.22,4.909999999999999,2.7800000000000002,0.0,14.09,62.14,0.0,98.72,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.14,9.05,0.0,290.52,0.0,234.37,233.07,22.92
7,0.0,0.0,0.0,33.55,0.0,45.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.52,0.0,0.0,0.0,81.67,0.0,19.919999999999998,0.0,31.27,0.0,126.01,1803.2,0.0
