island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,VE_BTGT
1,579.01,210.42,506.88,34.2,0.0,43.6,460.46999999999997,0.0,2846.11,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.29,0.0,87.59,52.01,1167.09,651.82,0.0,1243.11,942.06,59.39
2,0.0,0.56,32.52,14.31,53.81,28.32,0.0,308.62,0.0,0.0,659.81,4.199999999999999,1677.96,103.67999999999999,0.0,2952.63,475.42,0.0,323.58,0.0,31.94,629.76,128.99,209.75,1189.55,3350.74,999.55
3,0.0,0.0,0.0,33.55,0.0,45.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.52,0.0,0.0,0.0,81.67,0.0,19.919999999999998,0.0,31.27,0.0,126.01,1803.2,0.0
