island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,VE_BTGT
1,343.99,60.43,421.49,799.2,0.0,215.51,245.92,0.0,3198.14,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.84,0.0,55.03,202.61,402.46,453.27,0.0,1243.11,1278.08,16.7
2,0.0,0.07,25.46,6.390000000000001,120.31,63.73,0.0,1.4100000000000001,0.0,0.0,734.06,2.04,1858.51,133.95,0.0,3232.16,552.3,0.0,385.08,0.0,72.8,373.7,214.7,4.92,1189.55,4123.26,16.68
3,0.0,0.0,0.0,8.360000000000001,0.0,35.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.16,0.0,0.0,0.0,24.92,0.0,10.53,0.0,24.97,0.0,126.01,1503.19,0.0
