crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,343.99,243.15,241.12455374851248,False
AN,132.67000000000002,507.45,374.78,282.49038968870127,False
BA,1920.8,1248.62,672.1800000000001,34.99479383590171,False
BC,147.21,247.33,100.12,68.01168398885945,False
CS,12812.93,11874.69,938.2399999999998,7.32260302678622,True
IG,145.42,465.03,319.61,219.78407371750794,False
JA,621.47,285.94,335.53000000000003,53.98973401773215,False
MA,1086.97,1469.1,382.1299999999999,35.155524071501496,False
ME,189.36,4.92,184.44000000000003,97.40177439797213,False
PN,6109.43,6904.53,795.0999999999995,13.01430739037847,True
VE,310.89,33.38,277.51,89.2630834057062,False
TOTAL,23577.99,23384.98,4622.789999999999,19.60637866077642,False
