crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,15186679.100000001
BA_IRR,1715379.98
BA_PER,2263392.0
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,10336361.067371428
CS_BT_NISM,9275.807222857144
CS_CGT_NIM,2176900.0222571427
CS_CGT_NISM,4925.709394285715
CS_EGT_NIM,5250590.766614285
CS_EGT_NISM,308385.5072571428
CS_MG_NISM,4892417.65897143
CS_NGT_NIM,9180534.916571429
CS_NGT_NISM,1278249.4319999998
CS_SBT_NIM,653494.456
IG_PLA,0.0
IG_TUT,0.0
JA,57188.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3797491.5
VE_BTGT,0.0
