crop,labor_cost
AG,2624689.5653333333
AN_NU,410734.5
AN_PA,3020488.1
BA_INT,19658049.83515625
BA_IRR,2005767.3052272727
BA_PER,2753941.6111666663
BC_BT,2320885.37
BC_GTMG,13569.223125
CS_BT_NIM,630262.0185714286
CS_BT_NISM,695.662142857143
CS_CGT_NIM,144662.25285714286
CS_CGT_NISM,402.02571428571434
CS_EGT_NIM,366259.22071428574
CS_EGT_NISM,26397.71785714286
CS_MG_NISM,396933.3885714286
CS_NGT_NIM,636966.3885714286
CS_NGT_NISM,108842.55
CS_SBT_NIM,39935.853333333325
IG_PLA,4270560.0
IG_TUT,845288.315
JA,26592.420000000002
MA_ROTA,19886383.44
MA_TO_CO_JA,12115362.959999999
ME,47891.280000000006
NC,0.0
PN_PIQ,13484547.09
VE_BTGT,187433.15066666665
