crop,production_tonnes
AG,6879.8
AN_NU,1210.0
AN_PA,15643.25
BA_INT,36627.75
BA_IRR,4090.54
BA_PER,5658.4800000000005
BC_BT,6393.92
BC_GTMG,36.660000000000004
CS_BT_NIM,236662.36
CS_BT_NISM,208.976
CS_CGT_NIM,46245.78
CS_CGT_NISM,102.816
CS_EGT_NIM,105935.06999999999
CS_EGT_NISM,6108.12
CS_MG_NISM,91845.69600000001
CS_NGT_NIM,174536.63999999998
CS_NGT_NISM,23859.36
CS_SBT_NIM,14219.4
IG_PLA,7380.0
IG_TUT,825.45
JA,0.0
MA_ROTA,41912.64
MA_TO_CO_JA,24945.840000000004
ME,98.4
NC,0.0
PN_PIQ,4556.9898
VE_BTGT,484.01000000000005
