region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,0.0,0.07,11.07,0.8300000000000001,26.85,17.46,0.0,0.0,0.0,0.0,804.04,3.57,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,9.82,9.58,27.75,0.41000000000000003,573.21,5.42
2,0.0,0.0,0.0,6.36,84.77,36.24,1.3699999999999999,0.0,0.0,0.0,0.0,0.0,2054.61,134.61,0.0,0.0,0.0,0.0,9.18,0.0,37.62,172.59,198.36,18.45,1628.21,6.8
3,0.0,0.0,0.0,40.93,151.65,55.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3573.06,572.95,0.0,54.22,0.0,59.82,37.36,122.33,223.09,1200.48,15.42
4,2.88,1.62,126.23,106.52,0.0,84.23,1.0,0.0,3320.35,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,51.17,8.82,160.46,0.0,594.74,0.0
5,18.93,0.0,27.46,944.82,0.0,233.4,56.04,6.1,82.63,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.9,0.0,10.04,211.45,57.83,137.39,0.0,164.87,116.33
6,1.51,0.0,7.56,94.32,0.0,82.56,33.12,2.5700000000000003,116.46,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15,29.7,0.0,229.95000000000002,0.0,338.92,43.68
7,0.0,0.0,0.0,28.98,0.0,117.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2574.91,0.0,0.0,0.0,3.33,0.0,17.89,0.0,33.9,0.0,849.97,0.0
