type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,7,25,2,5,5,16,0,7
2,0,0,6,122,3,5,6,1,2,1
3,0,0,0,0,1353,11,5,1,1,0
4,0,0,1,23,155,638,9,11,0,25
5,0,0,9,1,14,37,179,2,33,7
6,0,0,0,14,7,72,7,909,0,38
7,0,0,0,0,5,2,8,1,200,0
8,0,0,0,26,6,95,6,82,0,382
