type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3,56,2,6
2,0,0,0,0,0,0,5,2,130,9
3,0,403,0,0,778,29,109,43,4,5
4,0,0,0,0,47,305,273,208,0,29
5,0,8,0,0,0,1,173,58,22,20
6,0,0,0,0,24,27,263,727,1,5
7,0,0,0,0,0,0,6,6,193,11
8,0,0,0,0,11,9,298,147,11,121
