crop,labor_cost
AG,2245700.8426666665
AN_PA,4837173.66
BC_BT,1473014.7550000001
IG_PLA,2966372.64
MA_PAI_NON_NI,362793.0
MA_ROTA,253217540.715
ME,2016592.78
PN_PIQ,23812968.06
TH,10104344.91
