crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,785.63,684.79,679.0856802856009,False
AN,132.67000000000002,520.63,387.96,292.42481344689827,False
BA,1920.8,44.88,1875.9199999999998,97.66347355268637,False
BC,147.21,246.76,99.54999999999998,67.62448203247061,False
CS,12812.93,10769.08,2043.8500000000004,15.951464653283834,False
IG,145.42,426.59,281.16999999999996,193.3502956952276,False
JA,621.47,1224.43,602.96,97.02157787182003,False
MA,1086.97,1843.13,756.1600000000001,69.56585738336845,False
ME,189.36,0.03,189.33,99.98415716096324,False
PN,6109.43,6096.0,13.430000000000291,0.2198241079773447,True
VE,310.89,70.4,240.48999999999998,77.35533468429347,False
TOTAL,23577.99,22027.56,7175.610000000001,30.433510235605322,False
