crop,production_tonnes
AG,11950.4
AN_NU,902.4
AN_PA,14030.8
BA_INT,10817.1
BA_IRR,2683.6200000000003
BA_PER,1960.2
BC_BT,6369.22
BC_GTMG,63.44
CS_BT_NIM,221769.12
CS_BT_NISM,225.55200000000002
CS_CGT_NIM,43873.2
CS_CGT_NISM,42.336000000000006
CS_EGT_NIM,103777.05
CS_EGT_NISM,5206.152
CS_MG_NISM,91102.872
CS_NGT_NIM,169457.94
CS_NGT_NISM,19374.336000000003
CS_SBT_NIM,9759.75
IG_PLA,10890.18
IG_TUT,1281.1499999999999
JA,0.0
MA_ROTA,59860.619999999995
MA_TO_CO_JA,27522.36
ME,86.6
NC,0.0
PN_PIQ,4947.3336
VE_BTGT,979.33
