crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,4485010.04
BA_IRR,1125383.9400000002
BA_PER,784080.0
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,9685890.472457143
CS_BT_NISM,10011.565302857143
CS_CGT_NIM,2065216.9788571429
CS_CGT_NISM,2028.2332800000001
CS_EGT_NIM,5143630.154928572
CS_EGT_NISM,262847.13224
CS_MG_NISM,4852849.0628
CS_NGT_NIM,8913397.983714286
CS_NGT_NISM,1037967.2374857144
CS_SBT_NIM,448538.09
IG_PLA,0.0
IG_TUT,0.0
JA,46908.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,4122778.0
VE_BTGT,0.0
