crop,revenue
AG,8365280.0
AN_NU,661759.9999999999
AN_PA,10289253.333333332
BA_INT,10326244.04
BA_IRR,2574538.74
BA_PER,1842588.0
BC_BT,5095376.0
BC_GTMG,50752.0
CS_BT_NIM,14387395.816457141
CS_BT_NISM,14793.267702857143
CS_CGT_NIM,3078249.166857143
CS_CGT_NISM,3005.7715200000002
CS_EGT_NIM,7754660.732928572
CS_EGT_NISM,393833.91656000004
CS_MG_NISM,6347847.19232
CS_NGT_NIM,13283718.256314285
CS_NGT_NISM,1537631.3629257143
CS_SBT_NIM,649296.1475
IG_PLA,16335270.0
IG_TUT,2562300.0
JA,46908.0
MA_ROTA,62853651.0
MA_TO_CO_JA,30274596.0
ME,103920.0
NC,0.0
PN_PIQ,28859446.0
VE_BTGT,685531.0000000001
