name,policy,forcing,status,objective,marge_brute,subventions,etp,production_t,surface_ha,azote_kg,ift,ges_tco2,eau_m3,autonomie_min,hhi_revenu,pad_vs_2017,allocated_plots,duration_s,output_dir,error
P8_transition_agroecologique__pareto_azote__threshold=1216469,P8_transition_agroecologique,,maxTimeLimit,66552098.32921941,79449162.7,36947298.78,4200.0,473742.62,25894.99,1066127.17,39783.75,152645919.68,27699964.8,0.04,0.14,76.24,24357,3622.3,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p8_transition_agroecologique_pareto_azote_threshold_1216469,
P8_transition_agroecologique__pareto_azote__threshold=1351632,P8_transition_agroecologique,,maxTimeLimit,66552098.32921941,79449162.7,36947298.78,4200.0,473742.62,25894.99,1066127.17,39783.75,152645919.68,27699964.8,0.04,0.14,76.24,24357,3646.9,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p8_transition_agroecologique_pareto_azote_threshold_1351632,
