region,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,0.0,0.07,22.39,6.05,15.32,17.09,0.0,0.0,0.14,0.0,0.0,799.73,2.08,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.0,7.5,18.09,14.59,0.0,590.37,0.75
2,0.0,0.0,0.0,6.58,85.42,36.31,1.3699999999999999,0.0,1.7,0.0,0.0,0.0,0.0,2023.86,134.81,0.0,0.0,0.0,0.0,74.63,0.0,41.28,242.29,67.03,1.69,1663.24,1.98
3,0.0,0.0,0.0,82.96,154.01,46.449999999999996,0.0,0.0,1.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3576.12,562.6,0.0,146.31,0.0,65.28,62.48,113.28,2.56,1291.54,4.32
4,0.0,20.5,345.56,74.19,0.0,64.51,5.97,2.27,0.0,3130.5,3.7199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,40.89,22.84,90.66,0.0,661.98,0.0
5,0.92,3.16,54.83,939.28,0.0,58.91,151.97,210.42,0.0,123.58,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.21,0.0,1.02,217.16,155.47,97.36,0.0,167.43,0.98
6,8.99,7.15,7.56,97.34,0.0,54.45,85.22,30.31,0.0,107.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02,34.87,0.0,239.48,0.0,318.33,0.0
7,0.0,0.0,0.0,14.13,0.0,49.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.68,0.0,0.0,0.0,17.78,0.0,11.15,0.0,25.32,0.0,1403.14,0.0
