island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,0.05,9.82,349.99,6.24,0.0,0.7,243.5,0.0,2877.1,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.23,0.0,93.26,53.81,21.13,2084.57,0.0,1932.3700000000001,6.13
2,0.0,0.48,23.75,31.18,26.55,0.0,0.0,4.03,0.0,0.0,594.72,0.6100000000000001,1606.83,20.99,0.0,2908.34,191.05,0.0,163.69,0.0,1028.56,221.45,450.58,6.51,4562.73,2.56
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.24,0.0,0.0,0.0,0.21,0.0,12.71,0.0,32.0,0.0,1600.54,0.0
