island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BA_SINT,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,NC,PN_PIQ,VE_BTGT
1,289.99,55.4,421.07,950.77,0.0,197.49,47.6,245.47,0.0,3288.2,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.19,0.0,50.33,237.76,275.8,451.62,0.0,1243.11,1172.92,10.25
2,0.0,0.07,25.43,72.83,229.42,101.15,0.0,0.0,2.11,0.0,0.0,765.76,2.23,1950.61,135.37,0.0,3447.86,552.5600000000001,0.0,297.17,0.0,102.93,296.32,218.91,4.39,1189.55,3763.74,12.01
3,0.0,0.0,0.0,8.3,0.0,46.410000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.77,0.0,0.0,0.0,19.93,0.0,10.6,0.0,25.37,0.0,126.01,1491.48,0.0
