crop,production_tonnes
AG,5799.8
AN_NU,1109.4
AN_PA,15627.5
BA_INT,46435.50000000001
BA_IRR,7800.28
BA_PER,6210.900000000001
BA_SINT,1285.2
BC_BT,6382.22
BC_GTMG,54.86
CS_BT_NIM,243326.8
CS_BT_NISM,220.816
CS_CGT_NIM,48242.88
CS_CGT_NISM,112.392
CS_EGT_NIM,111184.76999999999
CS_EGT_NISM,6172.872
CS_MG_NISM,92420.712
CS_NGT_NIM,186184.44
CS_NGT_NISM,23870.592000000004
CS_SBT_NIM,15228.525
IG_PLA,5707.8
IG_TUT,754.9499999999999
JA,0.0
MA_ROTA,30894.48
MA_TO_CO_JA,25052.399999999998
ME,87.8
NC,0.0
PN_PIQ,4242.5724
VE_BTGT,322.77000000000004
