crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,19253190.200000003
BA_IRR,3271070.36
BA_PER,2484360.0
BA_SINT,545400.8
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,10627434.21542857
CS_BT_NISM,9801.34870857143
CS_CGT_NIM,2270908.3195428574
CS_CGT_NISM,5384.476445714286
CS_EGT_NIM,5510788.134185714
CS_EGT_NISM,311654.6929257143
CS_MG_NISM,4923047.493085715
CS_NGT_NIM,9793203.033714287
CS_NGT_NISM,1278851.1789714287
CS_SBT_NIM,699871.771
IG_PLA,0.0
IG_TUT,0.0
JA,70258.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3535477.0
VE_BTGT,0.0
