crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.46,100.38000000000001,99.54383181277272,False
AN,132.67000000000002,435.21,302.53999999999996,228.03949649506288,False
BA,1920.8,908.98,1011.8199999999999,52.67700957934194,False
BC,147.21,244.77,97.56,66.27267169349908,False
CS,12812.93,4987.03,7825.900000000001,61.078145279807195,False
IG,145.42,101.82,43.599999999999994,29.982120753678995,False
JA,621.47,4029.84,3408.37,548.4367708819411,False
MA,1086.97,2413.82,1326.8500000000001,122.06868634828928,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,10379.26,4269.83,69.8891713302223,False
VE,310.89,6.78,304.11,97.81916433465213,False
TOTAL,23577.99,23507.969999999998,18880.32,80.07603701587794,False
