region,matched_plots,total_plots,plot_match_pct,matched_ha,total_ha,area_match_pct
1,589,1462,40.287277701778386,762.96,1500.36,50.85179556906343
2,1878,3568,52.634529147982065,3041.13,4403.72,69.05820533548908
3,1737,4785,36.30094043887147,2665.49,6148.64,43.35088735069869
4,1645,3790,43.403693931398415,2463.54,4479.21,54.999430703182036
5,646,2492,25.922953451043337,742.36,2401.02,30.918526292992144
6,370,847,43.68358913813459,542.84,1013.23,53.57520010264204
7,1134,5253,21.587664191890347,1205.47,3631.81,33.191989669063084
TOTAL,7999,22197,36.03640131549309,11423.79,23577.989999999998,48.45107661849038
