type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,0,0,6,2,18,32,2,7
2,0,0,0,0,48,13,69,7,4,5
3,0,0,0,0,1288,16,58,4,5,0
4,0,0,0,0,10,520,4,231,0,97
5,0,0,0,0,14,27,186,9,41,5
6,0,0,0,0,22,44,51,879,25,26
7,0,0,0,0,3,3,12,1,196,1
8,0,0,0,0,6,21,8,223,14,325
