crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.05,100.79,99.95041650138833,False
AN,132.67000000000002,322.94,190.26999999999998,143.41599457300066,False
BA,1920.8,0.0,1920.8,100.0,False
BC,147.21,247.41,100.19999999999999,68.06602812308945,False
CS,12812.93,11551.03,1261.8999999999996,9.84864507961879,True
IG,145.42,505.86,360.44000000000005,247.86136707468032,False
JA,621.47,3130.06,2508.59,403.65423914267785,False
MA,1086.97,1497.95,410.98,37.80969115982962,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,6096.0,13.430000000000291,0.2198241079773447,True
VE,310.89,0.0,310.89,100.0,False
TOTAL,23577.99,23351.300000000003,7367.65,31.247998663160004,False
