island,AG,AN_NU,AN_PA,BA_INT,BA_IRR,BA_PER,BC_BT,BC_GTMG,CS_BT_NIM,CS_BT_NISM,CS_CGT_NIM,CS_CGT_NISM,CS_EGT_NIM,CS_EGT_NISM,CS_MG_NISM,CS_NGT_NIM,CS_NGT_NISM,CS_SBT_NIM,IG_PLA,IG_TUT,JA,MA_ROTA,MA_TO_CO_JA,ME,PN_PIQ,VE_BTGT
1,0.05,12.55,359.58,1008.74,0.0,31.36,244.44,0.0,2890.68,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.07,0.0,77.49,270.87,25.61,891.42,0.0,1846.56,5.54
2,0.0,0.6599999999999999,23.72,38.76,84.69,0.5,0.0,3.23,0.0,0.0,717.27,0.7100000000000001,1808.89,108.5,0.0,2954.46,396.53000000000003,0.0,159.61,0.0,464.5,238.63,426.15,6.42,4449.67,4.88
3,0.0,0.0,0.0,2.81,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.49,0.0,0.0,0.0,0.5700000000000001,0.0,12.33,0.0,34.5,0.0,1554.3700000000001,0.0
