type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,0,10,0,0,9,34,0,14
2,0,0,0,75,0,0,38,1,30,2
3,0,0,0,0,1345,14,6,3,2,1
4,0,0,0,0,16,584,2,207,0,53
5,0,0,5,1,9,34,182,6,37,8
6,0,0,0,0,0,1,1,1033,0,12
7,0,0,0,0,3,4,7,1,201,0
8,0,0,0,1,1,16,1,208,0,370
