crop,production_tonnes
AG,1.0
AN_NU,264.20000000000005
AN_PA,13415.5
BA_INT,47263.95
BA_IRR,2879.46
BA_PER,573.84
BC_BT,6355.44
BC_GTMG,83.98
CS_BT_NIM,213910.31999999998
CS_BT_NISM,184.112
CS_CGT_NIM,45188.01
CS_CGT_NISM,35.784000000000006
CS_EGT_NIM,103106.73000000001
CS_EGT_NISM,4947.6
CS_MG_NISM,92316.744
CS_NGT_NIM,159540.84
CS_NGT_NISM,17130.096
CS_SBT_NIM,15704.324999999999
IG_PLA,2883.2400000000002
IG_TUT,1162.35
JA,0.0
MA_ROTA,14268.960000000001
MA_TO_CO_JA,48674.52
ME,128.4
PN_PIQ,5181.396000000001
VE_BTGT,151.09
