region,AG,AN_PA,BC_BT,IG_PLA,MA_PAI_NON_NI,MA_ROTA,ME,PN_PIQ,TH
1,0.0,0.0,0.0,0.0,0.0,883.1899999999999,14.13,635.13,0.0
2,0.0,0.0,0.0,0.0,0.0,2702.14,73.5,1675.87,0.0
3,0.0,0.0,0.0,0.0,0.0,3897.86,119.17,2329.17,0.0
4,99.03999999999999,19.419999999999998,85.99,137.2,16.04,710.11,0.0,3489.85,0.0
5,141.01,430.16,37.12,111.11,2.58,1690.1,0.0,35.63,99.19
6,54.0,266.56,33.17,36.94,1.63,0.0,0.0,357.76,300.73
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.59,0.0
