type_observe,-1,0,1,2,3,4,5,6,7,8
-1,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,14,2,51,0
2,0,0,0,0,0,0,0,0,146,0
3,0,598,0,0,0,0,753,7,13,0
4,0,0,0,0,0,0,696,92,74,0
5,0,33,1,0,0,0,88,5,154,1
6,0,0,150,0,0,0,514,236,119,28
7,0,0,0,0,0,0,0,0,216,0
8,0,0,16,0,0,0,423,80,74,4
