region,matched_plots,total_plots,plot_match_pct,matched_ha,total_ha,area_match_pct
1,770,1462,52.667578659370726,963.89,1500.36,64.24391479378284
2,2104,3568,58.96860986547085,3196.89,4403.72,72.59521495462927
3,2899,4785,60.585161964472306,4191.56,6148.64,68.17052226183351
4,2238,3790,59.050131926121374,3244.27,4479.21,72.42951324005796
5,583,2492,23.39486356340289,636.11,2401.02,26.493323670773254
6,448,847,52.892561983471076,624.21,1013.23,61.605953238652624
7,3387,5253,64.4774414620217,2299.95,3631.81,63.32792739708299
TOTAL,12429,22197,55.99405325043925,15156.880000000001,23577.989999999998,64.28402081772026
