crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,414.01,313.16999999999996,310.561285204284,False
AN,132.67000000000002,687.76,555.0899999999999,418.3990352001205,False
BA,1920.8,743.73,1177.07,61.280195751770094,False
BC,147.21,769.01,621.8,422.38978330276467,False
CS,12812.93,10632.01,2180.92,17.021243384612262,False
IG,145.42,341.55,196.13000000000002,134.87140695915284,False
JA,621.47,195.56,425.91,68.53267253447471,False
MA,1086.97,2660.34,1573.3700000000001,144.74824512176048,False
ME,189.36,206.89,17.529999999999973,9.257498943810715,True
PN,6109.43,6829.71,720.2799999999997,11.789643223672252,True
VE,310.89,43.43,267.46,86.03042876901797,False
TOTAL,23577.99,23524.0,8048.729999999999,34.13662487769313,False
